student_id,subject,exam_score,homework_completion_%,teacher_comments
s01458,english,55,90%,smile may wonder very series certain growth language million there.
s05145,geography,52,100%,while coach or military else can hear.
s11745,math,46,95%,decision possible special opportunity big popular.
s03855,science,95,95%,future than west compare machine fine business recognize whose there various.
s00879,history,47,80%,stock people lose baby film final course only say account.
s06148,history,95,100%,concern training former religious force including training enough player care.
s09429,geography,100,0%,buy society accept ever six produce wall television practice light individual consumer nation.
s05784,math,100,80%,call sound least low check buy rest if lay board.
s04003,math,100,90%,lose really third music benefit base else become.
s02562,geography,90,80%,affect seat along finish magazine expect tend.
s08348,arabic,100,0%,week him himself spend stop bag.
s04574,english,96,90%,price somebody mission four character stage break recently.
s07661,history,100,95%,No comment
s10008,english,60,95%,ability include control part agree before short certainly its employee important despite.
s11027,history,48,100%,successful half with tell explain wear represent for meet.
s02387,science,47,95%,year attention discussion day tough necessary action ok right.
s08174,science,58,80%,common often much growth pass board public century work reason congress.
s08296,science,83,0%,reason official agree whom with real game administration chance either job.
s05715,english,94,90%,as four avoid would prove type research.
s11358,arabic,75,100%,early though ok travel whatever production woman senior pattern measure industry.
s00990,math,98,0%,No comment
s08965,geography,64,0%,discover significant forget camera future shoulder activity others compare some choose.
s03174,history,54,100%,daughter he since candidate quite oil health.
s03960,math,41,80%,five which police nice whatever heart easy last course weight suffer entire part.
s07349,history,91,90%,matter somebody actually example and work woman nation it morning attention artist heart.
s01400,geography,80,80%,practice create research together establish hand all lose really guess.
s02308,english,77,90%,explain actually major little international oil.
s02402,geography,100,80%,tell local day necessary deal answer commercial civil catch.
s03488,math,52,0%,prevent mind allow rise benefit ready rather light computer.
s04783,history,62,0%,onto heavy ball someone summer blue before structure red summer test south soon.
s01298,math,55,90%,eye where doctor for citizen budget race.
s09078,science,55,80%,for everyone lot dinner something economy character resource lead sign ask.
s10350,geography,73,95%,war color most among great offer agree first police affect.
s01076,geography,76,0%,painting before himself agree baby page form.
s08894,history,73,0%,high somebody bank draw politics small.
s10492,history,100,0%,whole drug moment write far force good entire reason evidence.
s03408,arabic,54,80%,truth sort sea special manage travel view force life.
s03269,science,96,0%,southern test close care news city congress ground she cost scientist author term.
s10028,arabic,84,0%,able west recent himself similar author.
s10005,english,65,0%,home interview president scientist likely professional machine clear.
s01403,arabic,93,90%,image best wife song scene ability write plant tax.
s08512,science,100,90%,music green peace with may wrong send people mr table something smile story.
s08835,math,89,90%,No comment
s01623,geography,93,100%,child well responsibility my return case participant early question let.
s02776,science,58,0%,mrs director expert product east can keep bar.
s04099,arabic,82,95%,film loss manage power my our to list national owner place admit return.
s04493,arabic,74,95%,best believe board raise weight light east well specific.
s04597,science,89,100%,top drug debate fund instead parent worry happy.
s01637,math,59,90%,debate company look financial onto threat amount bad street region none around.
s11634,english,91,100%,range us coach church article goal.
s03335,science,94,0%,turn miss realize best unit scientist hundred.
s05634,science,95,0%,top road art director your professional bed.
s00695,arabic,56,80%,close thing pressure crime or professional half suddenly painting door can soldier sometimes.
s06963,history,86,95%,doctor much rest name commercial commercial rock newspaper listen fight.
s02029,english,100,100%,game with describe art grow number ok increase soon.
s01824,history,72,100%,nothing activity when management alone phone child draw artist cell.
s02317,history,67,80%,develop operation shoulder budget law fine return fall.
s09099,math,100,90%,white her five language development continue data offer physical question matter and treatment.
s09658,arabic,88,95%,news future religious pick body sport else.
s03842,history,55,95%,record news play strategy two research.
s03567,arabic,100,90%,No comment
s05892,history,44,80%,peace rich above perform listen indeed citizen.
s03460,arabic,83,100%,improve note appear prevent often entire yeah edge clearly course third feeling support.
s10993,history,52,80%,effect production people other suddenly while past own policy sometimes student develop.
s10159,english,92,90%,everybody thing significant color large six bank authority necessary.
s10788,english,71,100%,put seven wall range free old project ok wall ago activity.
s06529,history,100,95%,front create begin perform civil mother country air measure network.
s08393,science,70,95%,market pass thus hand stand measure employee owner billion performance official.
s11687,history,82,0%,up senior eight century plan test little type success single argue wait.
s01904,arabic,72,90%,determine member begin community success land resource knowledge general unit perhaps.
s09030,math,100,0%,agree among vote third win force i off system ago travel process stuff.
s09523,english,79,0%,No comment
s03834,english,46,95%,design film guy use just talk including wear into task might consider collection.
s07547,arabic,59,90%,remember together weight tell teacher society national fall early more language.
s06933,history,88,95%,No comment
s08286,math,98,0%,measure entire particularly majority plant pass personal spend.
s07579,arabic,84,80%,friend room scientist all nice east certain next machine feel enjoy.
s03317,science,52,95%,security citizen door off save soldier pay ten south research leave.
s07603,math,91,90%,rate rather attorney her interesting number image instead share fish leg.
s00147,math,63,0%,above box reflect water newspaper newspaper capital wear key health marriage.
s04346,geography,100,90%,learn maybe clearly spend next discussion best mission shake.
s00740,history,92,90%,international either will individual board agent.
s00545,history,100,80%,No comment
s11954,math,100,80%,No comment
s09779,math,71,100%,program born partner seat catch in agent oil policy.
s06391,math,59,95%,rate information against require learn per radio exist let rich car.
s04323,arabic,63,90%,its second difference chair that fall authority kitchen whom.
s08717,science,45,100%,month raise church material newspaper town start his child daughter run.
s00160,math,100,100%,sit decade free mention issue thing all cold future test actually message attack.
s04529,history,96,100%,when surface within notice tend audience involve anyone campaign sort generation.
s06726,arabic,100,0%,open one class sometimes meet number off company those.
s10188,math,100,95%,approach street away everything star whatever son particularly.
s02381,geography,100,90%,No comment
s09792,arabic,93,90%,standard arm read direction born ahead also mrs guess ready box commercial.
s09557,geography,75,100%,old another fund weight open itself treat.
s10511,math,100,100%,per forget worry country practice story different quickly guess daughter serious the.
s09098,history,60,100%,food parent action accept president less seven.
s09653,arabic,62,80%,remember help itself probably least show around miss friend field break opportunity fight.
s09310,history,88,80%,response up father enjoy one oil wind.
s02488,history,52,90%,approach focus country tend never recently spend question activity mouth.
s05579,science,84,0%,itself coach people recent nature amount thousand medical stand report play single image peace.
s04966,arabic,56,90%,product election improve likely benefit off full.
s01208,arabic,70,100%,seek hotel during professor offer production clearly wall box hospital up talk.
s02270,arabic,61,95%,create like industry agent page try forget pass organization.
s05267,arabic,47,0%,No comment
s03899,arabic,82,95%,past hear difference small study present throughout network face.
s08376,geography,98,80%,No comment
s06033,arabic,100,80%,quality question soon set dark political can stand interview court then certain.
s10349,science,69,90%,feel computer sport anyone manage little election letter.
s08620,science,69,0%,bank never kind strong nor offer tv tend market argue.
s08603,history,100,80%,out even across others rock make start seem particular major subject.
s04173,history,46,95%,line move oil will college stock bank prevent.
s01716,english,59,0%,great different hope clearly federal short financial need his.
s01139,history,72,0%,agent wrong general job one own carry investment reason lay once.
s02045,arabic,76,80%,government bed however treatment second project true although president write item.
s04167,arabic,98,100%,heart either benefit wife compare style tend plant cold mother key stay training.
s07907,science,100,95%,No comment
s06350,geography,72,95%,indeed establish certain ball he read room a manager them general can.
s07308,history,89,0%,close generation message tree support step.
s05975,arabic,85,0%,front class financial yard eight step guess shoulder history authority.
s09761,science,100,100%,dark follow light across tv process strategy begin dinner.
s04164,arabic,92,0%,fight lose hot throughout couple its under bag when.
s04806,science,48,0%,mission box industry senior fear which record it manage manage staff whom.
s03558,science,54,95%,public economic hear lot quite relationship.
