student_id,subject,assignment_name,due_date,status,grade_feedback,guardian_signature
s08528,history,tv.,2025-03-01,not done,b,no
s06671,history,nation deep.,2024-12-16,done,c-,no
s09013,arabic,right image.,2024-09-20,pending,c,no
s11993,math,mouth account.,2024-10-08,pending,a+,unknown
s04264,geography,energy believe happy.,2024-09-16,not done,a,no
s02414,math,not create.,2024-12-09,pending,b,yes
s06115,science,sister themselves.,2024-09-21,not done,d,unknown
s04064,english,type somebody different.,2025-03-09,done,f,unknown
s00753,history,there fill.,2024-12-09,done,a,yes
s02102,english,according animal much.,2025-01-17,not done,a,unknown
s08949,math,buy likely.,2025-01-20,done,b,no
s00765,arabic,leg one.,2024-12-09,not done,a+,unknown
s02434,science,avoid town thought.,2024-09-23,done,c,yes
s07862,math,economic quality.,2024-12-09,done,b,no
s10130,english,kitchen perhaps focus.,2024-11-21,pending,d,unknown
s00888,science,safe lay.,2024-10-26,not done,c,no
s02863,science,ahead response cup season.,2024-11-08,done,c,no
s01326,science,in all group.,2025-01-14,done,b-,yes
s05779,english,able meet recently save.,2024-12-04,done,a,no
s02711,geography,available response.,2024-10-25,pending,b-,unknown
s03060,math,subject responsibility.,2025-02-28,done,f,unknown
s08179,english,make reveal.,2024-12-27,pending,f,yes
s02041,english,term.,2025-01-27,pending,c-,no
s01984,science,present soldier fight.,2024-12-10,done,f,yes
s10239,arabic,large i.,2024-10-25,done,b-,no
s05405,arabic,from entire role.,2024-11-02,done,c-,yes
s06014,math,section.,2024-11-21,done,c-,yes
s03735,science,future back.,2025-01-21,done,a,no
s10593,english,anyone girl ago.,2024-12-09,pending,c,no
s07950,arabic,so condition firm.,2024-12-28,done,a+,yes
s11259,geography,only more.,2024-12-10,done,c,unknown
s04675,science,past civil four.,2025-02-01,not done,a,no
s03885,english,likely go.,2024-09-14,done,a,no
s01911,math,writer expect.,2025-03-06,done,a+,unknown
s07387,english,quite save.,2025-01-14,done,c,unknown
s01460,math,certain.,2024-09-08,done,c,yes
s07904,history,human weight.,2024-12-09,done,d,unknown
s11262,geography,quite skin seek.,2025-01-22,not done,b,unknown
s01350,english,month address once.,2025-03-09,not done,b,unknown
s03489,arabic,herself institution a.,2024-10-23,not done,c,yes
s00679,arabic,find.,2024-12-09,done,a+,yes
s05429,science,produce free.,2024-09-10,done,c,unknown
s04644,history,almost important.,2024-12-07,pending,a,no
s02262,history,carry series.,2024-12-11,done,b,no
s01037,science,tv send.,2024-10-27,not done,c,unknown
s10538,history,white stage.,2024-11-03,not done,c,no
s06412,geography,difference job heart.,2024-12-16,pending,a,yes
s01837,math,process budget.,2024-10-05,pending,b,no
s09870,arabic,try subject.,2025-02-06,not done,b,unknown
s03368,english,military under.,2024-09-27,done,d,no
s05853,english,anything attention.,2024-12-09,done,f,no
s09113,math,director care black.,2025-01-28,done,b-,yes
s02874,geography,effort what fill letter.,2025-02-10,not done,d,no
s06709,science,clear loss own.,2025-02-13,done,b-,no
s07486,arabic,job civil pressure.,2025-02-08,not done,c,unknown
s07232,arabic,high serve.,2024-12-09,not done,b,no
s02407,geography,develop term.,2024-10-18,not done,f,yes
s01186,geography,style subject.,2024-12-09,done,c,yes
s11119,history,join yeah statement.,2024-11-20,done,a+,unknown
s05761,arabic,claim budget.,2024-09-29,done,b-,unknown
s11449,science,respond keep church.,2025-01-21,done,a+,yes
s06760,english,produce provide former discover.,2024-12-18,done,b,yes
s01039,math,writer land.,2025-02-10,done,f,no
s02745,math,forget police.,2025-01-28,not done,b-,unknown
s04016,arabic,sea deal sea.,2024-12-04,done,d,yes
s08929,science,make prove spend compare.,2025-03-07,done,c-,unknown
s01108,science,tend reason authority.,2025-01-19,done,f,unknown
s00706,arabic,operation expect.,2024-12-02,done,b-,no
s09524,arabic,lawyer social economic.,2024-11-06,not done,f,no
s02886,history,hospital two.,2024-11-27,done,d,yes
s08413,science,receive window.,2024-09-10,done,c-,unknown
s00531,math,fill fact challenge.,2024-12-19,not done,f,yes
s00869,geography,sing worry share.,2024-11-17,pending,b-,unknown
s03223,science,occur.,2024-12-09,done,a+,unknown
s10609,math,top born center.,2025-03-07,done,c-,unknown
s00736,geography,thousand key.,2025-01-20,not done,f,unknown
s10599,geography,fall tonight.,2024-12-09,done,f,unknown
s05773,history,career professional.,2024-12-30,not done,a+,no
s03079,science,after whom.,2024-09-17,not done,a+,no
s06460,arabic,she cut.,2024-11-06,done,b,no
s02286,english,building role woman.,2024-10-23,done,f,yes
s03558,geography,both though involve.,2025-02-15,not done,b,unknown
s04555,english,skill certainly task.,2025-01-31,done,a,unknown
s05138,history,certainly world perhaps.,2025-01-20,not done,c-,no
s09536,english,his long stay action.,2024-12-09,done,d,unknown
s04734,english,smile seven.,2024-11-26,done,f,yes
s09624,history,mrs ever fight.,2025-02-23,done,d,no
s08816,history,accept need.,2025-02-21,not done,c,yes
s08185,science,service so.,2024-09-28,done,b,unknown
s09909,english,reality coach still.,2024-11-24,not done,c,no
s11466,science,number.,2025-03-08,done,b-,no
s07383,math,to point mouth.,2024-12-09,not done,c,no
s07304,math,girl pressure.,2025-02-10,done,a+,no
s08104,english,brother rest paper.,2025-01-04,not done,b-,unknown
s02836,english,democrat none.,2024-10-07,pending,b,yes
s01046,arabic,director theory new.,2024-12-09,done,b,unknown
s00290,arabic,offer back race.,2024-10-06,done,c-,no
s06630,english,manage authority style.,2024-09-22,not done,a,unknown
s03709,science,decade pick fact.,2024-12-28,done,a+,yes
s01601,math,third green central.,2024-11-01,done,a,unknown
s01995,english,without table.,2024-12-09,done,b,no
s11484,math,fill little walk.,2024-09-17,done,c,unknown
s03838,arabic,its home mother note.,2024-12-09,done,d,yes
s08815,english,air keep.,2024-11-06,pending,b,yes
s11615,history,mind modern animal.,2025-01-08,done,f,unknown
s03231,history,firm appear firm.,2025-02-18,not done,c-,unknown
s10173,english,usually science.,2025-01-20,pending,a+,no
s04939,english,degree large.,2025-01-02,done,b,yes
s09977,geography,project.,2025-01-24,done,c-,yes
s00986,english,building me.,2025-03-03,done,b-,no
s01547,arabic,note carry produce.,2024-11-24,done,d,yes
s05251,science,assume early hold student.,2024-11-10,not done,a+,no
s09656,geography,common market.,2025-01-04,not done,a+,unknown
s06108,science,forward up.,2025-01-01,not done,a,yes
s08033,arabic,such fact home.,2024-12-23,not done,a+,yes
s11599,english,itself rock.,2024-12-12,done,b,no
s07747,english,marriage ask because market.,2024-12-09,not done,c,no
s11191,geography,power across.,2024-10-12,done,b-,no
s00712,english,fact coach week.,2024-10-11,pending,c-,unknown
s00230,math,glass coach.,2025-01-30,pending,f,no
s11118,english,understand feel thus.,2025-03-04,pending,f,unknown
s03281,english,wife visit of.,2024-12-09,done,a+,no
s02697,history,herself community.,2025-03-09,not done,a,no
s05796,math,see decide so.,2025-01-26,pending,a+,no
s06682,geography,travel list.,2024-10-16,done,d,yes
s10857,science,show single part.,2024-09-15,not done,a,unknown
s03736,history,miss.,2025-01-30,done,d,no
s08762,arabic,herself option agree mother.,2024-12-13,not done,c,no
s02699,math,answer send.,2024-09-25,done,a+,yes
s11689,science,cut entire wear.,2024-11-29,not done,b,unknown
s00930,arabic,single same far mission.,2024-09-16,done,c,no
s05750,geography,future impact really.,2024-12-29,done,a+,no
s08725,science,way officer.,2025-01-06,pending,b,yes
s05506,english,show represent own.,2024-11-18,pending,c-,no
s08009,arabic,million miss.,2024-11-19,not done,f,yes
s09409,arabic,meet marriage us.,2024-12-09,done,d,no
s05536,history,good true near war.,2024-10-10,done,b-,no
s10522,geography,can idea.,2024-12-09,done,b,unknown
s00952,history,them also author.,2024-12-24,not done,b-,unknown
s09145,science,force fact.,2024-10-13,done,a+,yes
s00171,history,attorney century.,2025-02-27,pending,c,yes
s01193,arabic,free over rule.,2024-12-09,not done,b,unknown
s11567,geography,when carry.,2025-02-19,not done,b-,yes
s07583,science,teach stand food.,2025-01-16,done,a,unknown
s02886,english,member our.,2025-01-18,done,a,unknown
s00547,science,response out.,2024-12-04,pending,b,no
s08280,arabic,guess common huge.,2024-12-02,pending,a,unknown
s01820,science,until them.,2025-01-11,pending,c-,no
s08205,geography,brother husband.,2024-10-05,done,a+,unknown
s09061,math,say window.,2025-02-14,not done,b-,unknown
s03487,math,cold certain adult.,2024-11-12,done,a+,yes
s10199,science,history player pick.,2024-11-18,done,d,yes
s04175,history,yes use begin.,2024-12-09,pending,b,no
s02003,english,statement happen summer.,2024-10-14,done,c,no
s07791,history,whom assume television.,2024-12-09,done,a+,unknown
s01262,arabic,help good.,2024-11-17,done,b,unknown
s11158,geography,piece traditional.,2025-02-07,done,a+,no
s04532,science,family congress easy.,2024-12-09,not done,b-,no
s07445,math,win for.,2025-02-26,done,a+,yes
s05831,arabic,little foreign front.,2025-03-06,done,b-,no
s11181,arabic,fall region.,2025-02-16,done,a+,no
s03361,science,at into.,2024-11-02,not done,d,yes
s04271,english,speak ability central.,2025-02-02,done,a+,no
s03861,history,record.,2024-12-09,done,a,unknown
s10597,geography,expect join himself on.,2024-12-09,not done,b,unknown
s09878,arabic,any.,2025-01-16,not done,a+,yes
s12020,history,charge least.,2024-12-23,not done,b-,unknown
s08175,history,realize total.,2024-12-02,done,a+,yes
s09125,history,behind near.,2025-01-13,not done,f,unknown
s06591,science,resource tax their.,2024-10-05,pending,a+,unknown
s03229,history,truth face black.,2024-11-29,done,c-,unknown
s09165,history,decision move.,2024-12-09,pending,c-,yes
s09959,geography,nearly very home.,2025-01-05,done,d,yes
s09318,science,term scientist serious.,2024-12-09,not done,c-,yes
s10300,arabic,stuff.,2024-12-31,not done,c-,yes
s10231,history,word stage seat.,2024-12-09,not done,b,yes
s10308,math,field safe former debate.,2024-10-19,not done,b,no
s11308,english,field degree.,2024-12-01,not done,f,unknown
s05018,arabic,air fact general.,2024-12-09,pending,b,no
s11166,science,and call.,2024-11-15,pending,b-,unknown
s00812,arabic,surface.,2025-01-01,pending,b,no
s11170,geography,put kitchen.,2025-01-05,done,b-,yes
s00903,math,area role.,2025-01-05,not done,a+,yes
s07346,science,who hit down.,2024-09-19,done,d,no
s04362,science,or player.,2024-12-09,not done,a+,no
s07240,science,member head never.,2024-12-15,not done,a+,no
s02967,science,price win present.,2024-09-08,done,d,unknown
s02428,geography,case.,2024-12-09,done,c-,yes
s06324,english,nation report.,2024-10-25,not done,b,yes
s02510,geography,rise me finish.,2024-10-24,pending,b-,unknown
s00564,arabic,discuss admit.,2024-12-12,not done,a,yes
s00222,english,interest top.,2024-11-08,done,a,yes
s05117,geography,heart political ahead.,2025-01-20,done,c,yes
s03206,science,stock reason.,2025-01-30,done,d,unknown
s04894,science,bad discuss.,2024-12-09,done,c,unknown
s02576,science,able mrs model.,2025-01-08,done,a+,yes
s09085,geography,protect house anything others.,2025-01-30,done,a+,no
s02153,science,behavior similar show light.,2024-12-14,not done,b-,no
s03294,geography,decision group gas.,2025-01-10,done,b-,yes
s11200,arabic,science.,2024-12-15,done,f,unknown
s04048,arabic,less car decide.,2024-12-09,not done,c,yes
s11698,math,oil enter.,2024-11-04,done,a+,unknown
s10587,history,play above.,2024-12-09,not done,b-,no
s06793,english,also three skill.,2024-09-20,done,f,no
s06351,english,various do team.,2024-10-16,pending,d,unknown
s03902,science,newspaper old.,2025-01-05,not done,f,no
s02779,history,entire tv.,2025-02-26,done,b-,yes
s09816,history,others quickly.,2025-02-20,done,f,unknown
s10873,science,hair offer brother.,2025-01-18,not done,d,unknown
s05449,math,door.,2024-12-09,done,b,unknown
s10018,arabic,all meet.,2024-12-10,done,b-,yes
s07481,english,affect.,2025-02-15,done,d,unknown
s04581,arabic,live success.,2024-09-26,done,a+,unknown
s02238,geography,rise medical structure.,2024-12-10,done,d,unknown
s09131,math,music hope.,2024-12-18,done,c-,unknown
s00072,geography,shake throughout.,2024-12-09,done,c,unknown
s09293,english,case plant.,2024-09-08,done,b,no
s11057,english,office young bank whom.,2024-12-09,done,c,yes
s05299,geography,particular knowledge already.,2024-12-09,done,d,yes
s02727,math,send day without.,2024-11-14,done,b,yes
s10432,history,two fine.,2024-12-09,done,a+,unknown
s07178,history,name mission reach night.,2024-10-25,done,d,unknown
s04260,geography,market much.,2024-09-15,not done,c,no
s07751,english,watch late reveal mouth.,2024-10-17,done,a,no
s07686,history,five most.,2024-12-12,done,a,unknown
s05883,math,window daughter.,2024-12-09,done,b-,no
s08558,science,quite determine.,2025-02-09,done,c,no
s07397,arabic,really house.,2024-11-30,not done,f,no
s06471,arabic,good along.,2025-02-21,not done,d,unknown
s08852,geography,myself move.,2024-09-15,not done,c-,no
s10263,math,staff now grow.,2024-12-09,not done,a,unknown
s05730,math,put woman.,2024-12-09,done,c,yes
s02221,geography,country learn.,2024-11-03,done,f,no
s09452,science,cell.,2024-12-31,done,f,yes
s06760,arabic,federal.,2024-12-09,done,b-,yes
s11354,english,decide century almost.,2025-01-24,done,f,yes
s08695,geography,cut include couple.,2025-01-24,done,c,yes
s05931,history,already school.,2025-01-16,pending,c-,unknown
s07480,history,to around.,2024-12-09,done,a,no
s03783,arabic,themselves over national.,2024-10-23,done,a,yes
s01869,geography,wind everyone.,2025-01-22,not done,c-,unknown
s04403,math,focus figure.,2024-10-11,done,f,unknown
s10265,math,drive every.,2024-12-24,done,a+,no
s10676,geography,perform woman seat.,2024-12-02,pending,b-,no
s02931,english,ball board.,2024-12-09,done,d,unknown
s01616,math,while share impact.,2024-10-01,done,c,no
s11761,english,on beyond.,2024-12-24,not done,c-,yes
s01338,history,wife real matter.,2025-01-22,done,b-,yes
s05220,arabic,resource nation soldier.,2025-02-15,not done,a+,yes
s01949,geography,produce physical.,2024-09-13,not done,f,yes
s02936,science,million site.,2024-10-17,done,b-,unknown
s04678,history,week during.,2024-12-02,not done,f,yes
s02485,geography,coach you treat white.,2025-02-09,done,b,yes
s04696,geography,option common.,2025-01-01,done,a,unknown
s10441,science,carry same law.,2024-09-24,not done,a+,yes
s06494,history,four eat image.,2025-02-09,not done,b,yes
s06169,science,car indicate.,2025-02-26,pending,c,yes
s01730,arabic,project fall.,2025-02-06,done,a,yes
s07481,science,natural plan.,2024-11-22,done,c,unknown
s07715,history,foreign leader various especially.,2024-12-09,done,f,unknown
s00493,english,i tell.,2024-12-08,pending,c,unknown
s02902,english,dream chair.,2024-12-31,pending,a+,yes
s06472,math,model himself environment most.,2024-12-24,done,b-,unknown
s11846,math,until arrive growth.,2024-12-09,pending,b-,no
s08832,science,design onto letter.,2024-12-09,done,a+,yes
s07964,geography,your call.,2024-12-09,not done,f,yes
s09077,math,prepare must perform.,2025-02-08,pending,a+,yes
s01018,history,record year carry.,2024-10-05,pending,d,no
s07659,history,identify skin purpose.,2024-12-26,done,c-,yes
s11004,geography,car.,2024-12-17,done,a,yes
s01237,math,oil hear north.,2025-02-04,done,c,no
s01395,science,carry be again wear.,2025-03-08,not done,d,yes
s00079,math,here matter since.,2024-10-02,not done,d,unknown
s00244,english,son along.,2024-09-10,done,b,no
s03773,science,civil various.,2025-02-13,not done,c,no
s00515,geography,keep determine trade.,2024-10-25,not done,d,no
s11309,science,court treatment.,2025-01-07,done,d,unknown
s10264,english,face heart prepare.,2024-12-09,not done,b,yes
s07787,math,many remain try according.,2024-11-19,done,b-,no
s06903,science,dark leg memory.,2025-02-25,done,a,unknown
s08661,math,section identify politics human.,2024-12-04,not done,a,unknown
s03020,science,huge pass tend.,2024-12-09,done,c,yes
s09222,history,wind.,2024-12-31,not done,c-,unknown
s10652,science,himself key.,2024-11-27,not done,a+,yes
s03184,arabic,eight visit sometimes.,2024-11-28,not done,c-,yes
s05384,english,show sell.,2024-10-13,done,c,yes
s03436,arabic,big those.,2024-09-28,done,c-,no
s01838,science,of join along.,2025-01-30,not done,f,no
s11808,history,affect ask.,2024-11-30,not done,b,yes
s03745,history,firm resource.,2025-01-24,done,a+,yes
s11126,arabic,up mean financial here.,2025-01-05,done,a,unknown
s04130,geography,believe avoid identify.,2024-12-09,done,c-,yes
s09752,geography,weight record.,2024-11-20,done,d,unknown
s05986,history,role face manage.,2025-01-23,done,a+,no
s08041,geography,less hard population.,2024-12-11,done,c-,yes
s09766,math,song discuss.,2024-11-05,done,c,unknown
s08284,arabic,investment how memory she.,2025-01-05,not done,d,no
s08628,math,gas.,2024-11-26,done,a,yes
s00235,english,program peace career.,2025-01-29,not done,d,yes
s07297,english,there.,2024-10-05,not done,b,yes
s11539,geography,table democrat.,2025-02-05,pending,a,yes
s06736,english,raise ball already.,2024-11-13,not done,c-,unknown
s02652,english,wife.,2025-01-29,not done,a,unknown
s11010,geography,democratic few.,2024-10-13,done,a+,unknown
s12025,geography,build machine hundred.,2024-09-25,not done,a+,unknown
s10396,history,gun.,2024-09-29,done,b-,yes
s02598,math,natural analysis lot.,2025-01-23,done,b,yes
s06712,english,bank small.,2024-10-17,not done,a+,unknown
s10841,arabic,until.,2024-11-15,pending,a,no
s00612,science,produce support.,2024-12-09,not done,c,unknown
s03546,science,build back.,2024-12-09,not done,b-,no
s07504,math,authority dark.,2024-12-09,done,b-,unknown
s04155,math,find particularly indeed be.,2024-10-20,done,c,unknown
s04012,arabic,indeed mind mrs.,2024-10-12,done,a,yes
s02691,english,stop speak.,2025-01-18,pending,a+,unknown
s09740,geography,small mrs state table.,2024-11-06,not done,b,yes
s07572,geography,both attack.,2024-09-15,done,a,yes
s05774,english,past reduce assume.,2025-02-21,done,d,unknown
s03950,science,usually writer yard.,2024-12-09,done,b,unknown
s00734,math,professor through.,2024-10-12,pending,a+,no
s11678,science,option run drug.,2024-10-11,done,a+,yes
s11739,arabic,all dog talk.,2024-12-02,done,b-,yes
s07502,geography,business quickly health.,2025-01-17,not done,a,no
s11133,geography,surface.,2024-11-08,done,a+,unknown
s00692,geography,professor.,2025-02-27,not done,b,yes
s09010,math,seven control.,2025-02-21,done,c,yes
s07324,math,form after wide.,2025-03-05,pending,c,unknown
s02200,math,like agent.,2025-03-08,pending,c-,no
